name,price,originalPrice,image
Sara Foods Brown Sugar - 1kg,400,500,https://static-01.daraz.com.np/p/5cc3f516a04b8ba37960796508ea654c.jpg
Gulmeli (Thorgelo) Gudh 1 Kg,500,No Original Price,https://static-01.daraz.com.np/p/96f82616fd6ef203fad3fa4166481f2c.jpg
Big Size Sugar - 5kg,550,575,https://np-live-21.slatic.net/kf/S34e7a0b7cca64bd1972904c666c4b38e8.jpg
Big Size Sugar - 1kg,110,160,https://np-live-21.slatic.net/kf/S87f2ce48cc2c4f9db5eace23845f54a16.jpg
Kirana Jaggery (Khane Sakkhar) 1kg,170,No Original Price,https://static-01.daraz.com.np/p/a02fe1b78c83eac7ebbc85d21e6535c1.jpg
Kirana Jaggery (Khane Sakkhar) 500g,80,No Original Price,https://static-01.daraz.com.np/p/a02fe1b78c83eac7ebbc85d21e6535c1.jpg
Sugar Plain - 1kg,110,160,https://np-live-21.slatic.net/kf/Sfd61f28799b0456d8b3648e360df37709.jpg
Fresh Sugar | Safed Cheeni 5kg,645,700,https://static-01.daraz.com.np/p/ae26cb310a9a2668dcd41774dd9b8628.jpg
Icing Sugar - 200g,60,No Original Price,https://static-01.daraz.com.np/p/e0ecfd9f5807c252402a89ccdf4a0148.jpg
Caster Wheel Big,100,No Original Price,https://static-01.daraz.com.np/p/00d76af045f2ff4d6fd9c30dc1aac0b7.jpg
Organic Jaggery (Local Sakkhar) 1 Kg,225,No Original Price,https://static-01.daraz.com.np/p/4d51b594d3ed0d311901c35fc01383f3.png
MATO Sugar 1kg,105,No Original Price,https://static-01.daraz.com.np/p/a4a9f54477efd85a2605ca1f90dca26d.jpg
Patanjali Bura Sugar 1 KG,300,No Original Price,https://static-01.daraz.com.np/p/8581d1edb94974b34f57295d4a5896dc.jpg
Jaggery 200 Gms / Herbs Nepal,90,No Original Price,https://static-01.daraz.com.np/p/b4ed89fcf3574c51a15e96cac2c027b1.jpg
NR Natural Pure Organic Jaggery Gur / Gud from Sugarcane Chemical Free 1000GM 1Kg,489,No Original Price,https://static-01.daraz.com.np/p/c7217f34d039f0757d7235af519ec7f2.jpg
LOCAL FARM 100% Natural Jaggery Cubes (Local Sakkhar) - 300gm,375,No Original Price,https://static-01.daraz.com.np/p/08d9bc23f8fdc717549b4034c5bea49c.jpg
Sulphur Less Sugar, 5kg,1100,No Original Price,https://static-01.daraz.com.np/p/083adf7da233b24eef66ced9b7a20935.jpg
Sugar Big Size 5kg Pure and Clean,700,No Original Price,https://static-01.daraz.com.np/p/186b0931670030370bc0196e201c9c51.jpg
Gulmi Organic Jaggery Pure and Local Gud/Sakhar 1 kg,340,350,https://np-live-21.slatic.net/kf/Sda506d9c55af442c8c440cd436deebd0m.jpg
Uttam Sulphur Free Sugar - 500Gm,125,150,https://static-01.daraz.com.np/p/9b3879f9bae7cfe3ed98225429677396.jpg
Patanjali Khand 1kg,350,No Original Price,https://static-01.daraz.com.np/p/cc0ddb27a82e6c59767e4d96f831947b.png
Mishri Tukra ( Rock Sugar Cubes ) 500 gm,130,No Original Price,https://static-01.daraz.com.np/p/d2b88d69186446de70c2283bc07b64b2.jpg
Sara Foods Table Sugar - 1kg,160,No Original Price,https://static-01.daraz.com.np/p/1716b73b8b778cc4aa58ca65d38ff384.jpg
