name,price,originalPrice,brandName,image,itemUrl
Ghaila Mustard Oil Low Cholesterol -5 Litre,1350,No Original Price,No Brand,https://static-01.daraz.com.np/p/ab46a636e2263807194c96a5ffbd7f83.jpg,https://www.daraz.com.np/products/ghaila-mustard-oil-low-cholesterol-5-litre-i112452963.html
Raw Origin Cold Pressed Sesame Oil 500ml,850,No Original Price,,https://static-01.daraz.com.np/p/69f548fae22a9137e583ae4a1f24fe3d.png,https://www.daraz.com.np/products/raw-origin-cold-pressed-sesame-oil-500ml-i108736759.html
Sara Foods Cold Pressed Black Seed Oil - 100 ml,350,No Original Price,No Brand,https://static-01.daraz.com.np/p/3b10119fb5ebe9018493d23573a390ce.jpg,https://www.daraz.com.np/products/sara-foods-cold-pressed-black-seed-oil-100-ml-i127042946.html
Bigul Mustard Oil 1Ltr,247,No Original Price,Hafiz Tannery,https://static-01.daraz.com.np/p/9dfe4c97bedfd21f75b402e67802e3ec.jpg,https://www.daraz.com.np/products/bigul-mustard-oil-1ltr-i129176552.html
Lite House Rice Bran Oil 2ltr,940,957,No Brand,https://static-01.daraz.com.np/p/36caff247b4dae5396563ceface0d68f.jpg,https://www.daraz.com.np/products/lite-house-rice-bran-oil-2ltr-i101700328.html
Patanjali Indian Sarso Kachi Ghani Mustard Oil 5 ltr,2150,No Original Price,No Brand,https://static-01.daraz.com.np/p/0d015a8bb07357ed736faeca5d60382b.jpg,https://www.daraz.com.np/products/patanjali-indian-sarso-kachi-ghani-mustard-oil-5-ltr-i129316885.html
Khokhana Roasted Mustard Oil 1000 ml,420,No Original Price,No Brand,https://static-01.daraz.com.np/p/d8c2cb5d9fa7a4039c354317facc810d.jpg,https://www.daraz.com.np/products/khokhana-mustard-oil-1000-ml-i128158352.html
Sara Foods Cold Pressed Sesame Oil - 100ml,250,No Original Price,No Brand,https://static-01.daraz.com.np/p/cf8784a0cbe87c8a6721daf06fe7317f.jpg,https://www.daraz.com.np/products/sara-foods-cold-pressed-sesame-oil-100ml-i127055456.html
Dhara Mustard Oil 1 Catoon,3700,3800,No Brand,https://np-live-21.slatic.net/kf/S91ea609470994717b1a17315ac25b81di.jpg,https://www.daraz.com.np/products/dhara-mustard-oil-1-catoon-i130217001.html
Ghaila Mustard Oil Low Cholesterol -2 Litre,550,No Original Price,No Brand,https://static-01.daraz.com.np/p/625e510a3dc7f3dd25e17116dfdc7085.jpg,https://www.daraz.com.np/products/ghaila-mustard-oil-low-cholesterol-2-litre-i112452961.html
Light House Rice Bran Oil 2Ltr,949,967,No Brand,https://static-01.daraz.com.np/p/0e9056e046b831cb6b95011aae30734c.png,https://www.daraz.com.np/products/light-house-rice-bran-oil-2ltr-i135680027.html
Khoji Mustard Oil 1Ltr,380,No Original Price,No Brand,https://static-01.daraz.com.np/p/e612b7887888c2ec9f5321ec92d093c2.jpg,https://www.daraz.com.np/products/khoji-mustard-oil-1ltr-i115813757.html
Desi Grub Black Seed Oil 60ml | Kalonji Tel | Immune Support, Skin Health, Anti-Inflammatory,390,No Original Price,,https://static-01.daraz.com.np/p/439eba053a1c329c9692fdea908f4389.jpg,https://www.daraz.com.np/products/desi-grub-black-seed-oil-60ml-kalonji-tel-immune-support-skin-health-anti-inflammatory-i139363852.html
Dhara Mustard Oil 1Ltr,355,No Original Price,Hafiz Tannery,https://static-01.daraz.com.np/p/3628ffa81fa3a8d035fb37d331e237e9.jpg,https://www.daraz.com.np/products/dhara-mustard-oil-1ltr-i129240450.html
Sara Foods Cold Pressed Black Seed Oil - 500 ml,1650,No Original Price,No Brand,https://static-01.daraz.com.np/p/d549d0ecc1ebb5bc1c307bb9375821d8.jpg,https://www.daraz.com.np/products/sara-foods-cold-pressed-black-seed-oil-500-ml-i127042945.html
Seasame Oil 1000 ml,375,No Original Price,No Brand,https://static-01.daraz.com.np/p/ff8b9b6c558de12c4a6b007ac21bc7a4.jpg,https://www.daraz.com.np/products/seasame-oil-1000-ml-i105967414.html
Ghaila Mustard Oil Low Cholesterol -1 Litre,270,No Original Price,No Brand,https://static-01.daraz.com.np/p/1837761ebbd3b6d6959f975cf4820863.jpg,https://www.daraz.com.np/products/ghaila-mustard-oil-low-cholesterol-1-litre-i112452964.html
Patanjali Indian Sesame Oil 1ltr Bottle,900,No Original Price,No Brand,https://static-01.daraz.com.np/p/369b68ba13a284a1398381c0421e103e.png,https://www.daraz.com.np/products/patanjali-indian-sesame-oil-1ltr-bottle-i129737384.html
Patanjali Virgin Sesame Oil 200ml,250,No Original Price,No Brand,https://static-01.daraz.com.np/p/bdf7e9c08d77f3f52432024c47cf053e.png,https://www.daraz.com.np/products/patanjali-virgin-sesame-oil-200ml-i132745705.html
Khokhana Mustard Oil 500Ml,240,No Original Price,No Brand,https://static-01.daraz.com.np/p/d8c2cb5d9fa7a4039c354317facc810d.jpg,https://www.daraz.com.np/products/khokhana-mustard-oil-500ml-i101080397.html
Patanjali Indian Rice Bran Oil 1ltr Pouch Pack of 2,900,No Original Price,No Brand,https://static-01.daraz.com.np/p/2e580842a911793094ebf021cd03071d.png,https://www.daraz.com.np/products/patanjali-indian-rice-bran-oil-1ltr-pouch-pack-of-2-i129342041.html
