name,price,originalPrice,brandName,image,itemUrl
Salt And Pepper Mill Dispenser 100ml,300,330,No Brand,https://static-01.daraz.com.np/p/7c6e0a602c05fec2d1e66fde5d416132.jpg,https://www.daraz.com.np/products/salt-and-pepper-mill-dispenser-100ml-i129410134.html
Pepper Grinder, Premium Stainless Steel Manual Spice Mills with Glass Body, Best Spice Grinder for Barbecue Or Dinner,345,599,No Brand,https://static-01.daraz.com.np/p/74ef2a9cbbb08c70eb6d3771c1757367.jpg,https://www.daraz.com.np/products/pepper-grinder-premium-stainless-steel-manual-spice-mills-with-glass-body-best-spice-grinder-for-barbecue-or-dinner-i134957734.html
Wood Pepper Grinder (20 cm)-1 Pc,666,699,No Brand,https://static-01.daraz.com.np/p/78aba6353812e81df4bbe68db6f16284.jpg,https://www.daraz.com.np/products/wood-pepper-grinder-20-cm-1-pc-i108727407.html
Earthy Roots Pink Grinder 100g,199,No Original Price,,https://static-01.daraz.com.np/p/0176ef699ba1ca94676aff96c6910fd0.jpg,https://www.daraz.com.np/products/earthy-roots-pink-grinder-100g-i131778817.html
Retro Glass Salt and Pepper Shakers (Set of 2),288,299,No Brand,https://static-01.daraz.com.np/p/c7cfa3687876a116c68b2a9a9ea110b6.jpg,https://www.daraz.com.np/products/retro-glass-salt-and-pepper-shakers-set-of-2-i122623374.html
Ceramic Easter Egg Shaped Spices Salt/Pepper Shaker Seasoning Kitchen Decorative Dispensers (Brown & White Eggs),425,No Original Price,No Brand,https://static-01.daraz.com.np/p/f7f8c25e6ba9efb0eded2bdeb525b130.jpg,https://www.daraz.com.np/products/ceramic-easter-egg-shaped-spices-saltpepper-shaker-seasoning-kitchen-decorative-dispensers-brown-white-eggs-i105134772.html
Stainless Steel Salt N Pepper set /Cruet set,196,No Original Price,No Brand,https://static-01.daraz.com.np/p/91f935ac0752004aacc5afb77bda2b92.jpg,https://www.daraz.com.np/products/stainless-steel-salt-n-pepper-set-cruet-set-i103720303.html
Stainless Steel Salt Pepper Shaker (Set Of 2),250,499,No Brand,https://static-01.daraz.com.np/p/32b11d7954c91b3e622ce13c871e1b51.jpg,https://www.daraz.com.np/products/stainless-steel-salt-pepper-shaker-set-of-2-i117719616.html
High Grade Heavy Duty Wooden Manual Salt Pepper Grinder Crusher Mill Shakers with Ceramic Rotor for Home & Kitchen Medium ( 7-inch),1199,No Original Price,No Brand,https://static-01.daraz.com.np/p/2663367399034497789a57b416495bd3.jpg,https://www.daraz.com.np/products/high-grade-heavy-duty-wooden-manual-salt-pepper-grinder-crusher-mill-shakers-with-ceramic-rotor-for-home-kitchen-medium-7-inch-i129972110.html
Portable Wooden Salt & Pepper Crusher Mill Eco-Friendly Spice Grinder Set with Ceramic Core 20cm 23cm 26cm,800,900,No Brand,https://np-live-21.slatic.net/kf/S2b1de1329b0043809bf9d9a29701c0baJ.jpg,https://www.daraz.com.np/products/portable-wooden-salt-pepper-crusher-mill-eco-friendly-spice-grinder-set-with-ceramic-core-20cm-23cm-26cm-i131648077.html
Wood Pepper Grinder (14.5 cm)-1 Pc,689,699,No Brand,https://static-01.daraz.com.np/p/b78b50f70ed07b8ee42e8971c74142f3.jpg,https://www.daraz.com.np/products/wood-pepper-grinder-145-cm-1-pc-i108723478.html
Classic Home Grease Can/Salt And Pepper Shaker,160,200,No Brand,https://static-01.daraz.com.np/p/ae8ea6949e3692238e434d7d4dc7250c.jpg,https://www.daraz.com.np/products/classic-home-grease-cansalt-and-pepper-shaker-i128033330.html
Pasabahce Salt & Pepper , Basic 35 Ml, Pack of 2,270,No Original Price,No Brand,https://static-01.daraz.com.np/p/82da661a9bc521c9d2dc9c7215e84ad0.jpg,https://www.daraz.com.np/products/pasabahce-salt-pepper-basic-35-ml-pack-of-2-i112046303.html
Classic Home Grease Can/Salt And Pepper Shaker,160,200,No Brand,https://static-01.daraz.com.np/p/5b968c12e22c0897c67c189b184abda0.jpg,https://www.daraz.com.np/products/classic-home-grease-cansalt-and-pepper-shaker-i128029454.html
Signoraware Tik Tok Spice Shaker 75ml Each (2pcs),468,656,,https://static-01.daraz.com.np/p/d930d5157ff9b9452f16889ec92e3a96.jpg,https://www.daraz.com.np/products/signoraware-tik-tok-spice-shaker-75ml-each-2pcs-i127810176.html
Pepper Grinder, Premium Stainless Steel Manual Spice Mills with Glass Body, Best Spice Grinder for Barbecue Or Dinner,299,499,No Brand,https://np-live-21.slatic.net/kf/Sd824ad238e4c4135a5eee31448075ee1A.jpg,https://www.daraz.com.np/products/pepper-grinder-premium-stainless-steel-manual-spice-mills-with-glass-body-best-spice-grinder-for-barbecue-or-dinner-i133211973.html
Professional Stainless Steel Salt and Pepper Grinder with Adjustable Coarseness with,300,No Original Price,No Brand,https://static-01.daraz.com.np/p/25861be67cf08fa91ce03d2f02baa70e.jpg,https://www.daraz.com.np/products/professional-stainless-steel-salt-and-pepper-grinder-with-adjustable-coarseness-with-i133566664.html
Pepper Crusher & Salt Dispenser 6 Inches | High Grade Wooden Grinder with Steel Attachments,1508,1699,No Brand,https://static-01.daraz.com.np/p/1441fde6e963fba2665d9ea85d49d61e.jpg,https://www.daraz.com.np/products/pepper-crusher-salt-dispenser-6-inches-high-grade-wooden-grinder-with-steel-attachments-i116142940.html
Wooden Pepper Crusher 8",1162,No Original Price,No Brand,https://static-01.daraz.com.np/p/0a880269f8fedf909c08ffa405b8b861.jpg,https://www.daraz.com.np/products/wooden-pepper-crusher-8-i100944170.html
Stainless Steel Salt Sugar Spice Pepper Shaker Seasoning Cans,220,418,No Brand,https://static-01.daraz.com.np/p/f1365404ace437b3ecd05296cb215d3a.png,https://www.daraz.com.np/products/stainless-steel-salt-sugar-spice-pepper-shaker-seasoning-cans-i115913120.html
S.S Salt And Paper,245,499,No Brand,https://static-01.daraz.com.np/p/c8fcc3bc1ef1272e626ba8d58e2fe8ab.jpg,https://www.daraz.com.np/products/ss-salt-and-paper-i106611007.html
Retro Glass Sugar Pourer (Small),299,No Original Price,No Brand,https://static-01.daraz.com.np/original/a19f995368ce7b685ece0f40efe192f7.jpg,https://www.daraz.com.np/products/retro-glass-sugar-pourer-small-i431487.html
Extra Large Big Size Walnut Wood with Stainless Steel Attachments Inside Classic Wooden Pepper Crusher/ Grinder 30 cm Size with Metal Mechanical Grinder Stylish Elegant  Design,2599,No Original Price,No Brand,https://static-01.daraz.com.np/p/b3a1e32112328759982db236a30bdd54.jpg,https://www.daraz.com.np/products/extra-large-big-size-walnut-wood-with-stainless-steel-attachments-inside-classic-wooden-pepper-crusher-grinder-30-cm-size-with-metal-mechanical-grinder-stylish-elegant-design-i105463434.html
Wood Pepper Grinder (20 cm)-1 Pc,699,No Original Price,No Brand,https://static-01.daraz.com.np/p/ffde4cd57a106ef3f7e10ecf74785c9d.jpg,https://www.daraz.com.np/products/wood-pepper-grinder-20-cm-1-pc-i108739097.html
High Grade Heavy Duty Wooden Manual Salt Pepper Grinder Crusher Mill Shakers with Ceramic Rotor for Home & Kitchen Medium ( 7-inch),999,No Original Price,No Brand,https://static-01.daraz.com.np/p/739af1fb2539788f74b10d28f2f65919.jpg,https://www.daraz.com.np/products/high-grade-heavy-duty-wooden-manual-salt-pepper-grinder-crusher-mill-shakers-with-ceramic-rotor-for-home-kitchen-medium-7-inch-i106374383.html
Steel Salt & Pepper Shaker,392,No Original Price,No Brand,https://static-01.daraz.com.np/p/bc247e32c992d6e18cb7225e39110129.jpg,https://www.daraz.com.np/products/steel-salt-pepper-shaker-i104128487.html
Wooden Salt And pepper Set,799,No Original Price,No Brand,https://np-live-21.slatic.net/kf/S6252b4fdceab42d9a56c173ff893d913k.jpg,https://www.daraz.com.np/products/kath-ko-tokry-set-i130093148.html
16Pcs Candle Tins for Candle Making Kit Empty Metal Candle Tin with Lids Storage Tins Reusable,4983,No Original Price,No Brand,https://static-01.daraz.com.np/p/971e5a534ad88e59b97a7576483aa18d.png,https://www.daraz.com.np/products/16pcs-candle-tins-for-candle-making-kit-empty-metal-candle-tin-with-lids-storage-tins-reusable-i156976074.html
Stainless steel pepper grinder manual glass grinding bottle freshly ground pepper powder seasoning bottle crushed sea salt granules wholesale,905,1177,No Brand,https://static-01.daraz.com.np/p/cfaf1f102cb2caf907c9ee75e06ce605.jpg,https://www.daraz.com.np/products/stainless-steel-pepper-grinder-manual-glass-grinding-bottle-freshly-ground-pepper-powder-seasoning-bottle-crushed-sea-salt-granules-wholesale-i133175542.html
Crystal Salt And Pepper Shaker With Twister Lid For Home And Restaurant,149,175,No Brand,https://static-01.daraz.com.np/p/78d24d5095906b9ec8486be7d39f743e.jpg,https://www.daraz.com.np/products/crystal-salt-and-pepper-shaker-with-twister-lid-for-home-and-restaurant-i130153539.html
Classic Home Grease Can/Salt And Pepper Shaker,160,200,No Brand,https://static-01.daraz.com.np/p/18bb3ded28d030f33f0637b07a29dc8a.jpg,https://www.daraz.com.np/products/classic-home-grease-cansalt-and-pepper-shaker-i128031447.html
Wooden Salt And Pepper Stores,700,No Original Price,No Brand,https://static-01.daraz.com.np/p/55546ac35d2bee8b6492445ac7c63b26.jpg,https://www.daraz.com.np/products/wooden-salt-and-pepper-stores-i124904881.html
Oregano Salt And Pepper Shaker With Twister Lid For Home And Restaurant,179,No Original Price,No Brand,https://static-01.daraz.com.np/p/2bca8c8642f70929095b50486acbe9f7.png,https://www.daraz.com.np/products/oregano-salt-and-pepper-shaker-with-twister-lid-for-home-and-restaurant-i131298078.html
Otto Drizzle Salt and pepper | Hard Plastic | Multi Color available,94,120,No Brand,https://static-01.daraz.com.np/p/109eff3615cdd0095db727a4f482f682.jpg,https://www.daraz.com.np/products/otto-drizzle-salt-and-pepper-hard-plastic-multi-color-available-i132055498.html
Blue/White Plastic Salt Or Pepper Shaker,150,No Original Price,No Brand,https://static-01.daraz.com.np/p/88de957834fa71e621f6216a6ab8c46d.jpg,https://www.daraz.com.np/products/bluewhite-plastic-salt-or-pepper-shaker-i128248715.html
Crystal Salt And Pepper Shaker With Twister Lid For Home And Restaurant Set Of 4,545,620,No Brand,https://static-01.daraz.com.np/p/4dd29c1ee4ee58f9da125c094b3857b7.jpg,https://www.daraz.com.np/products/crystal-salt-and-pepper-shaker-with-twister-lid-for-home-and-restaurant-set-of-4-i131294706.html
Salt & Pepper 2pc,840,No Original Price,,https://static-01.daraz.com.np/p/0f3117ec3e32ab6afc5c827bfca390e3.jpg,https://www.daraz.com.np/products/salt-pepper-2pc-i114129207.html
Wooden Salt Shaker And Pepper Mill Grinder Crusher Set,990,No Original Price,No Brand,https://np-live-21.slatic.net/kf/S1cb3436633db4c9c8e58347b5a91764dQ.jpg,https://www.daraz.com.np/products/wooden-salt-shaker-and-pepper-mill-grinder-crusher-set-i155861444.html
Oregano Salt And Pepper Shaker With Twister Lid For Home And Restaurant Set Of 4,599,No Original Price,No Brand,https://static-01.daraz.com.np/p/996ccd0b42cdfdd7b8ef031b4b3f485b.jpg,https://www.daraz.com.np/products/oregano-salt-and-pepper-shaker-with-twister-lid-for-home-and-restaurant-set-of-4-i131298091.html
Set Of 2 Wooden Salt And Pepper Mill Grinder,800,975,No Brand,https://np-live-21.slatic.net/kf/Sc60f6d6339064749bb9e0365bbeb70983.jpg,https://www.daraz.com.np/products/set-of-2-wooden-salt-and-pepper-mill-grinder-i155964642.html
